water_content_percent,wavelength_nm,median_reflectance,std_reflectance
0,285.53,27.1214464,3.35777407700164
0,285.987,26.9713502,2.90832593706602
0,286.444,27.134675,2.62135040877117
0,286.901,27.0469448,2.42543814190751
0,287.358,27.3560286,1.92037748378725
0,287.814,27.0305682,1.87436365086249
0,288.271,27.2749212,2.41638300536363
0,288.728,27.1328624,2.48323326797855
0,289.185,27.2775224,2.74411675588664
0,289.641,26.9177182,2.77314995150752
0,290.098,26.8211684,2.23040874765005
0,290.554,27.282417,2.06249523073844
0,291.011,27.1123046,2.01411565794952
0,291.467,26.828786,2.03294785381475
0,291.923,27.0543948,2.37940443978777
0,292.38,27.4255078,2.9285488585774
0,292.836,26.7016804,2.73804642176298
0,293.292,26.902457,2.94647989953083
0,293.748,27.196034,2.62031753075737
0,294.205,26.978774,2.60967870540302
0,294.661,26.7631222,2.51874143161377
0,295.117,27.1859914,2.49373042517146
0,295.573,27.0909426,2.43077251211936
0,296.028,27.0967286,2.67815467841397
0,296.484,27.3280906,2.33620057553598
0,296.94,27.1230898,2.35041561595046
0,297.396,27.1206794,2.5634928442437
0,297.852,27.113073,2.07950051921859
0,298.307,27.062827,1.92381265094385
0,298.763,26.7958904,2.17476535173877
0,299.218,26.9267324,2.05961502748748
0,299.674,26.5759226,2.01733615244754
0,300.129,27.1096018,2.27909178988924
0,300.585,27.3744338,2.42033232678477
0,301.04,27.6197762,2.45288223350795
0,301.495,27.4400066,2.10351933726777
0,301.951,27.8905236,2.52586222354131
0,302.406,27.5899478,2.56514894604289
0,302.861,27.2760686,2.51138845056679
0,303.316,27.5843404,2.43177219146536
0,303.771,27.7117606,2.77181587604859
0,304.226,27.5962168,2.27776613036233
0,304.681,27.2238278,2.85018986085162
0,305.136,27.2791742,2.83685629275523
0,305.591,26.8927612,2.59106670389949
0,306.046,26.99239,2.70134461449516
0,306.5,26.5689548,2.65830461954987
0,306.955,26.6942482,2.3685719776735
0,307.41,26.7432922,2.31508068448747
0,307.864,26.690007,2.42280224788809
0,308.319,26.8429216,2.62018104226556
0,308.773,27.1351552,2.58653333014492
0,309.228,27.3951744,2.39294292215419
0,309.682,27.194026,2.64549644731941
0,310.136,27.3063558,3.12491445487126
0,310.591,27.1173258,3.45585987911399
0,311.045,26.8159074,3.82218267101956
0,311.499,26.5182556,3.9882436609517
0,311.953,26.6953218,3.85757119197758
