water_content_percent,replicate,wavelength_nm,reflectance
0,1,211.762,29.124945
0,2,211.762,28.139597
0,3,211.762,26.731458
0,4,211.762,27.352146
0,5,211.762,22.573832
0,6,211.762,27.352146
0,7,211.762,22.573832
0,8,211.762,29.124945
0,1,212.227,29.734909
0,2,212.227,27.971689
0,3,212.227,27.000002
0,4,212.227,27.247529
0,5,212.227,22.81804
0,6,212.227,27.247529
0,7,212.227,22.81804
0,8,212.227,29.734909
0,1,212.692,30.673975
0,2,212.692,28.434905
0,3,212.692,26.521908
0,4,212.692,26.537966
0,5,212.692,22.730276
0,6,212.692,26.537966
0,7,212.692,22.730276
0,8,212.692,30.673975
0,1,213.157,30.700241
0,2,213.157,28.514982
0,3,213.157,26.853354
0,4,213.157,26.127851
0,5,213.157,22.690781
0,6,213.157,26.853354
0,7,213.157,22.690781
0,8,213.157,30.700241
0,1,213.622,31.076638
0,2,213.622,29.262588
0,3,213.622,26.577448
0,4,213.622,25.394438
0,5,213.622,22.434837
0,6,213.622,26.577448
0,7,213.622,22.434837
0,8,213.622,31.076638
0,1,214.087,31.417552
0,2,214.087,29.227435
0,3,214.087,26.107038
0,4,214.087,25.621919
0,5,214.087,22.419009
0,6,214.087,26.107038
0,7,214.087,22.419009
0,8,214.087,31.417552
0,1,214.551,31.355262
0,2,214.551,29.897578
0,3,214.551,26.702308
0,4,214.551,25.165992
0,5,214.551,22.735875
0,6,214.551,26.702308
0,7,214.551,22.735875
0,8,214.551,31.355262
0,1,215.016,30.954669
0,2,215.016,29.675193
0,3,215.016,27.217132
0,4,215.016,25.950611
0,5,215.016,24.178051
0,6,215.016,27.217132
0,7,215.016,24.178051
0,8,215.016,30.954669
0,1,215.481,30.639516
0,2,215.481,28.85038
0,3,215.481,27.845145
0,4,215.481,26.179578
0,5,215.481,24.907795
0,6,215.481,27.845145
0,7,215.481,24.907795
0,8,215.481,30.639516
0,1,215.945,29.979296
0,2,215.945,28.464008
0,3,215.945,27.334671
0,4,215.945,25.729695
0,5,215.945,24.735847
0,6,215.945,27.334671
0,7,215.945,24.735847
0,8,215.945,29.979296
0,1,216.41,29.215493
0,2,216.41,27.940317
0,3,216.41,27.80884
0,4,216.41,25.785577
0,5,216.41,24.299791
0,6,216.41,27.80884
0,7,216.41,24.299791
0,8,216.41,29.215493
0,1,216.874,29.398855
0,2,216.874,28.393245
0,3,216.874,27.75774
0,4,216.874,26.332409
0,5,216.874,24.280035
0,6,216.874,27.75774
0,7,216.874,24.280035
0,8,216.874,29.398855
0,1,217.339,29.737834
0,2,217.339,28.787656
0,3,217.339,27.247003
0,4,217.339,25.439732
0,5,217.339,22.53517
0,6,217.339,27.247003
0,7,217.339,22.53517
0,8,217.339,29.737834
0,1,217.803,30.299896
0,2,217.803,29.763815
0,3,217.803,26.508185
0,4,217.803,25.886448
0,5,217.803,22.020866
0,6,217.803,26.508185
0,7,217.803,22.020866
0,8,217.803,30.299896
0,1,218.267,30.490347
0,2,218.267,29.602932
0,3,218.267,26.995146
0,4,218.267,26.379184
0,5,218.267,22.236635
0,6,218.267,26.995146
0,7,218.267,22.236635
