wavelength_nm,median_reflectance_0pct,median_reflectance_5pct,median_reflectance_10pct,median_reflectance_15pct,median_reflectance_20pct,median_reflectance_25pct,median_reflectance_30pct,median_reflectance_35pct,median_reflectance_40pct,std_reflectance_0pct,std_reflectance_5pct,std_reflectance_10pct,std_reflectance_15pct,std_reflectance_20pct,std_reflectance_25pct,std_reflectance_30pct,std_reflectance_35pct,std_reflectance_40pct
1821.449,39.167894,20.387769,19.944601,17.3895018,19.7065706,19.9786614,18.9862548,16.5380638,16.893465,1.38086201783002,1.76419452424964,1.81785744555804,1.71989531027658,1.23760232188496,0.197427086332752,1.38366734263788,0.530986962415236,0.795739221495837
1824.601,39.1623564,20.3702862,19.905155,17.3746984,19.7679842,19.9393732,18.9294384,16.502155,16.8475456,1.46233869051648,1.76553669758818,1.8414422847856,1.67470308044436,1.20538918192298,0.235597816903638,1.36897150150127,0.538256555550975,0.801336798308078
1827.753,39.180795,20.4337822,19.912905,17.3636446,19.7445092,19.9286804,18.8588696,16.503756,16.8619738,1.38666827432937,1.75330447429149,1.87388446514101,1.69980249825415,1.25125034670627,0.207934439968563,1.36364530529997,0.540328504244963,0.774424493875394
1830.905,39.1558012,20.4205278,19.8702216,17.4133128,19.7313772,19.9043604,18.8985908,16.5086754,16.7478986,1.4781271127221,1.76270170669111,1.84538590801356,1.73199182129009,1.25350819713561,0.214355335979863,1.39839066280312,0.541430168520964,0.775946905426035
1834.057,39.1509966,20.4408908,19.9268686,17.408181,19.7823368,19.9268188,18.8911168,16.4995648,16.793653,1.39353193335935,1.7474523433216,1.86719022293848,1.68796290162231,1.26938097537113,0.205925149970954,1.40671108465348,0.547241874838321,0.796818588506067
1837.209,39.1654004,20.3752368,19.8889838,17.3777492,19.729017,19.8430928,18.8478142,16.4567562,16.713867,1.47879924043916,1.73919709120679,1.87724073716009,1.61976392416344,1.22746783226608,0.232280376623942,1.38207671542319,0.559323189630611,0.798922239903985
1840.36,39.2081234,20.3935262,19.8914668,17.3869922,19.659786,19.8425742,18.844563,16.4228246,16.6482522,1.35258002159866,1.74815916363624,1.86100498262465,1.6372386559081,1.25285052995367,0.198106560629779,1.41662598385008,0.531617789452385,0.803270072042872
1843.511,39.1309076,20.3659072,19.7944372,17.2598644,19.6141512,19.7687234,18.7665816,16.304535,16.479038,1.43459484456534,1.75430158152644,1.81538989442813,1.60257024334219,1.21781058883907,0.220845137407731,1.44090307132237,0.552775200671304,0.844061064028901
1846.661,39.1820216,20.3329852,19.7657426,17.1740178,19.5614702,19.6995056,18.6904368,16.1518146,16.4095618,1.40447714391351,1.76180230872608,1.82004697999525,1.60711153714998,1.25348152468034,0.198936748725418,1.43925211610745,0.544263113572323,0.844137400690764
1849.812,39.1362694,20.2763054,19.6977418,17.0906996,19.4104424,19.5632996,18.5182362,15.9643668,16.156547,1.48216312001569,1.76110526128015,1.82432473815046,1.62094358960151,1.21164295684952,0.180745175024508,1.44298937850483,0.519237336560229,0.871145699539865
1852.962,39.092119,20.2038592,19.6265418,16.9543572,19.3016658,19.463037,18.382418,15.8093984,15.9203204,1.40843744191654,1.71273382543294,1.77205923260137,1.60695436304052,1.23696876880047,0.183806032231807,1.48044972820194,0.541066578563711,0.898057664596121
1856.111,39.0336424,20.0658894,19.4605164,16.7643188,19.1210666,19.2540718,18.1387192,15.544034,15.620101,1.54479913989847,1.68496858653514,1.76794250128013,1.61060397371513,1.19519581597035,0.158182332046787,1.52174697459695,0.558489346031238,0.882713714381735
1859.261,39.0274348,19.942274,19.3516152,16.6919406,18.9647226,19.0493728,17.8606702,15.2066718,15.3063254,1.4181104255612,1.6331051105987,1.74944242274702,1.61774936104374,1.20801666196483,0.155844093097429,1.52532282508358,0.52436274785816,0.908897942866767
1862.41,39.0340622,19.7559478,19.1369278,16.4682298,18.7274176,18.7617112,17.520054,14.8100042,14.7984322,1.50355477448351,1.6160771746049,1.73632815208029,1.57572498754083,1.14901384872953,0.0639115617127283,1.56869809044354,0.522990853356118,0.954704237208864
1865.559,39.1079484,19.589857,18.9052392,16.3310874,18.5476234,18.4917744,17.1855586,14.3770062,14.3098102,1.36762218982416,1.58970076404662,1.75528876497235,1.59028378623321,1.17835941917271,0.0909958827213626,1.63692783172266,0.535934445535795,0.954300503043858
1868.708,39.1570754,19.4134044,18.622407,16.030348,18.1684474,18.0466092,16.7227292,13.837287,13.711917,1.42635644920975,1.59216504858518,1.82907457984009,1.60939334916272,1.21542762385172,0.137043237170464,1.68068207207031,0.5489910528954,0.974748184473713
1871.856,39.2446098,19.2280556,18.3580622,15.736006,17.8694668,17.6262362,16.1984502,13.2556026,13.009354,1.32565233968766,1.59492776306811,1.82644857673151,1.59301228930263,1.26771934194748,0.299755007676202,1.73627018304046,0.55860415981788,1.0342833949836
1875.004,39.3472544,18.9254424,17.9059408,15.2864616,17.4171374,17.0850378,15.6295062,12.6493764,12.2519948,1.42969374407523,1.60182013993115,1.91639798192781,1.57570066587212,1.21857920847134,0.378840841935185,1.7764442407815,0.598981889254626,1.06240708229142
1878.152,39.3192118,18.5765218,17.426672,14.7855286,16.9149784,16.3866764,14.8653384,11.921339,11.56156788,1.22729915980276,1.58737295981573,1.98015708465738,1.5027445016221,1.2956355611124,0.462538097066436,1.86969756750428,0.654023276068979,1.07848149179675
1881.299,39.2966312,18.0781032,16.8582124,14.0761636,16.2743774,15.6220652,14.0901492,11.1632464,10.57375722,1.47360954192152,1.58416382251425,1.92193898939031,1.52637744775538,1.3156992297457,0.540109286219521,1.8314163770369,0.706941856627432,1.09062065766772
1884.446,39.3019604,17.5997356,16.2413208,13.5407874,15.692849,14.9277498,13.3481752,10.45397616,9.71885784,1.37313053548519,1.55766311493681,1.9252605716173,1.47025062354737,1.26578402377736,0.696151737646155,1.86306617089425,0.655231982628195,1.05733966257328
1887.593,39.2544466,16.97199,15.5797382,12.8368574,14.9890882,14.1222348,12.51220408,9.66680314,8.93574418,1.46903466267472,1.51453841071331,1.94179622618146,1.44116115054738,1.25834157178715,0.686706663239378,1.86214450358288,0.681924367104205,1.00926021056308
1890.74,39.1256616,16.3426866,14.8962774,12.2527488,14.2863518,13.2222874,11.63399228,8.83611156,8.07625724,1.41225618455103,1.50455977588444,1.90498699365918,1.42364134057359,1.36478654495205,0.849754473508813,1.91437339396935,0.594729106180128,0.961594918991413
1893.886,39.0494236,15.8316602,14.279698,11.54611142,13.6405778,12.49723,10.92509732,8.15663708,7.15402354,1.57039301642979,1.4771415314782,1.91366552585367,1.46012606123683,1.27230151980848,0.961287208785595,1.86981079292725,0.52025326895747,0.918236697796982
